source,family,algorithm,model,negative_positive_ratio,threshold,precision,recall,f1,tp,fp,fn,tn
train_fusion_20260519_124849.log,fusion_log_history,logistic_regression,selected_logs_metrics_graph,50,0.99,0.07792207792207792,0.2,0.11214953271028039,6,71,24,133035
train_fusion_20260519_161054.log,fusion_log_history,logistic_regression,selected_logs_metrics_graph,50,0.99,0.07792207792207792,0.2,0.11214953271028039,6,71,24,133035
train_fusion_20260519_223136.log,fusion_log_history,logistic_regression,selected_logs_metrics_graph,50,0.99,0.07792207792207792,0.2,0.11214953271028039,6,71,24,133035
train_fusion_20260523_003059.log,fusion_log_history,logistic_regression,selected_logs_metrics,50,0.89,0.0425531914893617,0.22641509433962265,0.07164179104477612,12,270,41,132809
train_fusion_20260523_003059.log,fusion_log_history,logistic_regression,logs_metrics,50,0.89,0.04240282685512368,0.22641509433962265,0.07142857142857142,12,271,41,132808
train_fusion_20260519_124849.log,fusion_log_history,logistic_regression,selected_logs_metrics_trace_latency,50,0.99,0.04316546762589928,0.2,0.07100591715976332,6,133,24,132973
train_fusion_20260519_124849.log,fusion_log_history,logistic_regression,logs_metrics,50,0.94,0.034482758620689655,0.6333333333333333,0.06540447504302926,19,532,11,132574
train_fusion_20260519_124849.log,fusion_log_history,logistic_regression,selected_logs_metrics,50,0.94,0.034358047016274866,0.6333333333333333,0.06518010291595198,19,534,11,132572
baseline_summary.json,baseline_summary,xgboost,metrics_only,,0.98,0.04716981132075472,0.09433962264150944,0.06289308176100628,5,101,48,132978
train_fusion_20260519_123310.log,fusion_log_history,logistic_regression,logs_metrics_traces,,0.99,0.032432432432432434,0.2,0.05581395348837209,6,179,24,132927
train_fusion_20260519_123310.log,fusion_log_history,logistic_regression,logs_metrics_traces_graph,,0.99,0.03076923076923077,0.2,0.05333333333333334,6,189,24,132917
train_fusion_20260519_125204.log,fusion_log_history,logistic_regression,selected_logs_metrics_graph,20,0.95,0.02773497688751926,0.6,0.05301914580265096,18,631,12,132475
train_fusion_20260523_003059.log,fusion_log_history,logistic_regression,selected_logs_metrics_trace_latency,50,0.86,0.02843601895734597,0.33962264150943394,0.052478134110787174,18,615,35,132464
train_fusion_20260519_125204.log,fusion_log_history,logistic_regression,selected_logs_metrics,20,0.93,0.025991792065663474,0.6333333333333333,0.049934296977660976,19,712,11,132394
train_fusion_20260519_125204.log,fusion_log_history,logistic_regression,logs_metrics,20,0.93,0.025991792065663474,0.6333333333333333,0.049934296977660976,19,712,11,132394
train_fusion_20260519_125204.log,fusion_log_history,logistic_regression,selected_logs_metrics_trace_latency,20,0.95,0.02538787023977433,0.6,0.04871447902571042,18,691,12,132415
train_fusion_20260523_001935.log,fusion_log_history,logistic_regression,selected_logs_metrics_graph,50,0.85,0.02252816020025031,0.33962264150943394,0.042253521126760556,18,781,35,132298
train_fusion_20260523_003059.log,fusion_log_history,logistic_regression,selected_logs_metrics_graph,50,0.85,0.02252816020025031,0.33962264150943394,0.042253521126760556,18,781,35,132298
train_fusion_20260531_112415.log,fusion_log_history,logistic_regression,selected_logs_metrics_graph,50,0.85,0.02252816020025031,0.33962264150943394,0.042253521126760556,18,781,35,132298
train_fusion_20260531_121307.log,fusion_log_history,logistic_regression,selected_logs_metrics_graph,50,0.85,0.02252816020025031,0.33962264150943394,0.042253521126760556,18,781,35,132298
train_fusion_20260523_003059.log,fusion_log_history,random_forest,selected_logs_metrics_trace_latency,50,0.65,0.02168021680216802,0.4528301886792453,0.041379310344827586,24,1083,29,131996
baseline_summary.json,baseline_summary,xgboost,logs_only,,0.47,0.022408963585434174,0.1509433962264151,0.03902439024390244,8,349,45,132730
train_fusion_20260523_003059.log,fusion_log_history,random_forest,selected_logs_metrics_graph,50,0.7,0.01896551724137931,0.41509433962264153,0.03627370156636439,22,1138,31,131941
train_fusion_20260523_003059.log,fusion_log_history,random_forest,selected_logs_metrics,50,0.66,0.017218543046357615,0.49056603773584906,0.03326935380678182,26,1484,27,131595
train_fusion_20260523_003059.log,fusion_log_history,random_forest,logs_metrics,50,0.55,0.015426997245179064,0.5283018867924528,0.029978586723768737,28,1787,25,131292
fusion_summary.json,fusion_summary_latest,xgboost,selected_logs_metrics_graph,50,0.99,0.015503875968992248,0.33962264150943394,0.029654036243822075,18,1143,35,131936
train_fusion_20260531_130201.log,fusion_log_history,xgboost,selected_logs_metrics_graph,50,0.99,0.015503875968992248,0.33962264150943394,0.029654036243822075,18,1143,35,131936
train_fusion_20260519_125204.log,fusion_log_history,random_forest,selected_logs_metrics_trace_latency,20,0.69,0.010740314537782892,0.9333333333333333,0.021236253318164578,28,2579,2,130527
train_fusion_20260519_125204.log,fusion_log_history,random_forest,selected_logs_metrics_graph,20,0.67,0.010518407212622089,0.9333333333333333,0.020802377414561663,28,2634,2,130472
train_fusion_20260519_125204.log,fusion_log_history,random_forest,logs_metrics,20,0.68,0.009828904259191846,0.9,0.01944544472452287,27,2720,3,130386
train_fusion_20260519_125204.log,fusion_log_history,random_forest,selected_logs_metrics,20,0.66,0.009632536567962896,0.9,0.019061066007765616,27,2776,3,130330
train_fusion_20260519_124849.log,fusion_log_history,random_forest,selected_logs_metrics_graph,50,0.77,0.009505703422053232,0.6666666666666666,0.01874414245548266,20,2084,10,131022
baseline_summary.json,baseline_summary,lightgbm,traces_only,,0.6,0.010676156583629894,0.05660377358490566,0.017964071856287425,3,278,50,132801
train_fusion_20260519_124849.log,fusion_log_history,random_forest,selected_logs_metrics,50,0.74,0.008990600735594606,0.7333333333333333,0.017763423496164714,22,2425,8,130681
train_fusion_20260519_124849.log,fusion_log_history,random_forest,selected_logs_metrics_trace_latency,50,0.63,0.008646616541353383,0.7666666666666667,0.017100371747211896,23,2637,7,130469
train_fusion_20260519_124849.log,fusion_log_history,random_forest,logs_metrics,50,0.69,0.008617459722742601,0.7666666666666667,0.01704334938866247,23,2646,7,130460
baseline_summary.json,baseline_summary,xgboost,traces_only,,0.97,0.007905138339920948,0.03773584905660377,0.0130718954248366,2,251,51,132828
train_fusion_20260519_123310.log,fusion_log_history,random_forest,logs_metrics_traces,,0.51,0.005687973997833153,0.7,0.011284255776464266,21,3671,9,129435
train_fusion_20260519_123310.log,fusion_log_history,random_forest,logs_metrics_traces_graph,,0.56,0.005094614264919942,0.7,0.010115606936416183,21,4101,9,129005
baseline_summary.json,baseline_summary,lightgbm,logs_only,,0.95,0.0,0.0,0.0,0,14,53,133065
baseline_summary.json,baseline_summary,lightgbm,metrics_only,,0.99,0.0,0.0,0.0,0,24,53,133055
