"case_id","raw_files","raw_log_files","structured_log_files","structured_log_rows","log_template_files","monitoring_json_files","trace_json_files","anomaly_files","size_mb"
"case_01_admin_basic_info_spring_1_5_22","55","1","1","75738","1","11","40","1","131.34"
"case_02_auth_mongo_4_4_15_20220713","51","1","1","147205","1","7","40","1","137.95"
"case_03_auth_mongo_5_0_9_20220706","54","1","1","74595","1","10","0","1","96.05"
"case_04_auth_mongodb_4_4_15_20220727","74","1","1","131569","1","0","0","1","76.57"
"case_05_order_springboot_2_7_1_20220711","55","1","1","116079","1","11","40","1","157.43"
"case_06_order_mongodb_driver_3_0_4_20220713","51","1","1","142290","1","7","40","1","153.77"
"case_07_order_mongodb_4_2_2_20220712","51","1","1","127621","1","7","40","1","165.16"
"case_08_order_mongodb_4_4_15_20220712","51","1","1","133673","1","7","40","1","146.17"
"case_09_order_springdata_mongodb_1_5_22_20220711","55","1","1","93298","1","11","0","1","189.79"
"case_10_order_springdata_mongodb_2_0_0_20220711","55","1","1","106172","1","11","40","1","145.46"
